,Area,Year,Undernourished (mil),Population,Population (mil),Undernourished (%),Inflation (%),Ratio U:I ,Ratio I:U
0,Brunei Darussalam,2002,0.1,346777.0,0.346777,28.8369759240088,-2.9502404166666700,-9.77444948591351,-0.102307552097042
1,Brunei Darussalam,2003,0.1,353295.0,0.353295,28.304957613326000,0.3476631666666670,81.4148875324037,0.01228276584675
2,Brunei Darussalam,2004,0.1,359434.0,0.359434,27.821519388816900,1.0828655833333300,25.6924957418772,0.0389218708079832
3,Brunei Darussalam,2005,0.1,365112.0,0.365112,27.388856022261700,1.61769225,16.9308198282224,0.0590638852781999
4,Brunei Darussalam,2006,0.1,370262.0,0.370262,27.007902512275100,0.19712891666666700,137.006295012232,0.00729893469428334
5,Brunei Darussalam,2007,0.1,374967.0,0.374967,26.669013539858200,1.24350275,21.4466864185529,0.046627249565925
6,Brunei Darussalam,2008,0.1,379418.0,0.379418,26.356156007358600,2.683541333333330,9.821408628955460,0.101818388561067
7,Brunei Darussalam,2009,0.1,383902.0,0.383902,26.048314413574300,1.3345263333333300,19.51877138948,0.0512327328419332
8,Brunei Darussalam,2010,0.1,388634.0,0.388634,25.731150645594600,-0.9457230833333330,-27.2079122303979,-0.0367540144768166
9,Brunei Darussalam,2011,0.1,393687.0,0.393687,25.40088953915170,0.009298833333333330,2731.62112155486,0.000366082979849999
10,Brunei Darussalam,2012,0.1,398997.0,0.398997,25.062845084048300,-0.0015004166666666700,-16703.9234106403,-0.000059866174875
11,Brunei Darussalam,2013,0.1,404414.0,0.404414,24.727136053648000,0.10574416666666700,233.839244594875,0.00427644214183335
12,Brunei Darussalam,2014,0.1,409778.0,0.409778,24.403457481856000,-0.22458291666666700,-108.661236767516,-0.00920291384258336
13,Brunei Darussalam,2015,0.1,414914.0,0.414914,24.10138004502140,0.9061280833333330,26.598204479394,0.0375965227568166
14,Brunei Darussalam,2016,0.1,419791.0,0.419791,23.82137778084810,-0.509942,-46.713896444788,-0.0214069062122
15,Brunei Darussalam,2017,0.1,424481.0,0.424481,23.558180460374000,0.280608,83.9540585456366,0.0119112764448
16,Brunei Darussalam,2018,0.1,428960.0,0.42896,23.312196941439800,1.9140986666666700,12.1792033751516,0.0821071764053333
17,Brunei Darussalam,2019,0.1,433296.0,0.433296,23.07891141390640,-0.7024511666666670,-32.8548267966049,-0.0304369280712001
18,Brunei Darussalam,2020,0.1,437483.0,0.437483,22.858031054921000,2.509169583333330,9.109799196814360,0.109771903682541
19,Brunei Darussalam,2021,0.1,441532.0,0.441532,22.64841506391380,2.3876694166666700,9.48557405217861,0.105423245287967
20,Cambodia,2002,2.9,12637719.0,12.637719,22.94717899646290,2.633175,8.71464258792632,0.114749399061465
21,Cambodia,2003,2.7,12856171.0,12.856171,21.00158748666300,1.4036868333333300,14.9617329078956,0.0668371776288215
